Repo,Release,Filename,SHA,Revision
en_tw,ver6,kt/abomination.md,76e62245713d88ea6eec68e2864834da48e5e21f,1
en_tw,v7,kt/abomination.md,e82e9fce7e0b150100c22a1a3e36983eb5510782,2
en_tw,v9,kt/abomination.md,00f71f074ed0dfe25e2125fa8ea8d3d8415482a0,3
en_tw,v10,kt/abomination.md,9395d4af117adc785a7d390cebbb0eeb388e41c3,4
en_tw,v11,kt/abomination.md,642b2739a341ff4275494b9be8eab29ebba8d1d2,5
en_tw,v17,kt/abomination.md,46b4f5ea3ff24b96c76db0f0455c0482e5965a05,6
en_tw,v18,kt/abomination.md,642b2739a341ff4275494b9be8eab29ebba8d1d2,7
en_tw,v21,kt/abomination.md,0ab7b8a67432c1e07c8c30c9750b08d28b8b898c,8
en_tw,v22,kt/abomination.md,c569b7916e366668960487379cb47aa0c36c4fdf,9
en_tw,ver6,kt/adoption.md,206875615d9649f773ed8286f19df0e64cafce6a,1
en_tw,v7,kt/adoption.md,35ee478be60664ddeadd5904c838a8d5b8b62245,2
en_tw,v9,kt/adoption.md,f62a8f3000b69f133571bea4680f566b19f34de5,3
en_tw,v11,kt/adoption.md,f639193338ce7c3849ca58331a61866477713d4f,4
en_tw,v22,kt/adoption.md,a2da6f49df8da3f80b2058ba14380793a942c8f7,5
en_tw,ver6,kt/adultery.md,5f94f8b66907e962235bae58499c9fbae724dfb1,1
en_tw,v7,kt/adultery.md,a38afeb41451d3b0438bd4d770d4522f7543e1dc,2
en_tw,v9,kt/adultery.md,71b509bbd5afb6b4b71a711505cb1ecfe85a04bd,3
en_tw,v10,kt/adultery.md,0020f583c0f05403d047cd5f4929c25b3d317784,4
en_tw,v11,kt/adultery.md,9e3c60caae7b14f89a1ef6c1fc18471f0d2d8a80,5
en_tw,v12,kt/adultery.md,bec9b4099fa4e0214d8c8bec4b50bea44ea0f982,6
en_tw,v22,kt/adultery.md,8dc7c8f7c4013d0280176949e1e7a7d710b5b5c2,7
en_tw,ver6,kt/almighty.md,68a4b705b1e7f104ffe134ee84fb15d9a80ce8e8,1
en_tw,v7,kt/almighty.md,887f4675cf6308fda99b9086e42c9d761439288e,2
en_tw,v9,kt/almighty.md,8fa4cbcc2c6ad701aa54e37ea5eded7a4190929a,3
en_tw,v11,kt/almighty.md,0e627646c36a91b328adede1b45a82927319c617,4
en_tw,v12,kt/almighty.md,07372ba41f530655da441c53d649b44fa61ec449,5
en_tw,v22,kt/almighty.md,48a5028596c6aad9a9f48820b12ae1f79e087f5a,6
en_tw,ver6,kt/altar.md,b3e83279c57b939880e6c3ebf3b0714dd207e5eb,1
en_tw,v7,kt/altar.md,1fb5684f682148eab8230a0219e3afce45d06cf3,2
en_tw,v8,kt/altar.md,449dd82892491b8c0e0c16fe41d1b5c25f37a693,3
en_tw,v9,kt/altar.md,c2207ab67cede8a2fab356c70bc238c6ec2fb031,4
en_tw,v10,kt/altar.md,bdc7307054b7e39e15d22017976b1a0d1ee796ac,5
en_tw,v11,kt/altar.md,842fe349232d581ad4c92b7ac18457c188882116,6
en_tw,v18,kt/altar.md,344bcf1302b7f240c63bf37b5cb16fda74b2e800,7
en_tw,v22,kt/altar.md,61c742ba2116ffa425db1b7c4a73aceabbceb4b3,8
en_tw,ver6,kt/amen.md,cf1d97cd3fb32f32ec00595e801f45da48c2597d,1
en_tw,v7,kt/amen.md,11f3b07b50dfb6fc8cb2cc594e961b06df4a6734,2
en_tw,v8,kt/amen.md,f839b1b136ce909f13ddd0d1b31a8d9946846c76,3
en_tw,v9,kt/amen.md,f92c9269e959e981afd04fef43ea685ee19771f0,4
en_tw,v11,kt/amen.md,65376bb3fb9d9ecd4af83c46dd43cba5d4ecc14e,5
en_tw,v18,kt/amen.md,e73088bdee51ade66fb70c9aa5cf9ad3ebb0511d,6
en_tw,v22,kt/amen.md,e84f4836f179809bbef51f9fa8e3e6a824d8caad,7
en_tw,ver6,kt/angel.md,c5a801d412b3306b24c7da36b88d8cf227372f31,1
en_tw,v7,kt/angel.md,8b7d5519abb02eda79e08144c9c0a9924496b130,2
en_tw,v9,kt/angel.md,772299d936323dc26b4b713c797764f25ba59d80,3
en_tw,v10,kt/angel.md,10522c7d98a130a6c1d3bb4beb5b34c73825f55f,4
en_tw,v11,kt/angel.md,86ef2a77c7a7f36e8b1bb3f338514265f8b90299,5
en_tw,v15,kt/angel.md,3bdcfe378767ffae17b8a8d6fd61698d96881d42,6
en_tw,v18,kt/angel.md,fa3ab3cc48f1ad5cbdccc290ff96c08d4e45de92,7
en_tw,v20,kt/angel.md,2d1b7e056c9affb470a55942e60a512d92f3eb8d,8
en_tw,v22,kt/angel.md,b0eaff94864088e0ffb0ddb599ce1233c37f1514,9
en_tw,ver6,kt/anoint.md,11b0ef7e8d187b1d8ff621c100854d2a1756088e,1
en_tw,v7,kt/anoint.md,bc898f7d8dd59341ed0a8eedb6b79efdb2333db8,2
